公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
飞友科技有限公司,飞常准,500-2000人,不需要融资,蜀山区,数据分析实习,不限,本科,2k-3k,周末双休、健身器材、咖啡,移动互联网,开发|测试|运维类,"['节日礼物', '年度旅游', '管理规范', '五险一金']",数据开发,合肥
北京千橡网景科技发展有限公司,人人公司,2000人以上,上市公司,朝阳区,数据分析实习,在校/应届,不限,3k-4k,项目前景好，领导nice，弹性工作,"社交,金融",产品|需求|项目类,"['五险一金', '通讯津贴', '带薪年假', '绩效奖金']",数据分析,北京
北京千橡网景科技发展有限公司,人人公司,2000人以上,上市公司,朝阳区,数据分析实习,在校/应届,本科,2k-3k,领导好，管理扁平,"社交,金融",开发|测试|运维类,"['五险一金', '通讯津贴', '带薪年假', '绩效奖金']",数据开发,北京
上海联元智能科技有限公司,联元智能科技,50-150人,A轮,普陀区,数据分析实习,在校/应届,不限,5k-6k,五险一金 绩效奖金 弹性工作 补充公积金,"移动互联网,数据服务",产品|需求|项目类,"['绩效奖金', '带薪年假', '补充公积金', '年底双薪']",数据分析,上海
云鹊医疗科技（上海）有限公司,云鹊医疗,150-500人,不需要融资,浦东新区,数据分析实习,在校/应届,不限,3k-4k,成长快,"医疗丨健康,移动互联网",产品|需求|项目类,"['年底双薪', '股票期权', '带薪年假', '领导好']",数据分析,上海
上海掌小门教育科技有限公司,掌门1对1在线教育,2000人以上,D轮及以上,虹口区,数据分析实习生,不限,本科,3k-5k,领导nice 平台大,"移动互联网,教育",公务员|其他,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",储备干部|培训生|实习生,上海
北京默契破冰科技有限公司,玩吧,500-2000人,B轮,东城区,数据分析实习生,不限,本科,3k-5k,"弹性不打卡,免费午餐,季度旅游",社交,产品|需求|项目类,"['去他的考勤', '高手云集', '股票期权', '年底N薪']",数据分析,北京
北京转转精神科技有限责任公司,转转,500-2000人,B轮,海淀区,数据分析实习生,不限,本科,3k-5k,成长空间,"移动互联网,消费生活",产品|需求|项目类,"['带薪年假', '定期体检', '交通补助', '年底双薪']",数据分析,北京
百融云创科技股份有限公司,百融云创,500-2000人,C轮,朝阳区,数据分析实习生 (MJ000193),不限,本科,3k-5k,成长空间,金融,开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '定期体检']",数据开发,北京
北京数字政通科技股份有限公司武汉分公司,武汉政通,500-2000人,上市公司,东湖新技术开发区,产品助理-数据分析专员实习生,不限,本科,2k-3k,大牛带队,移动互联网,产品|需求|项目类,"['技能培训', '年底双薪', '节日礼物', '休假灵活']",数据分析,武汉
杭州观远数据有限公司,观远数据,150-500人,B轮,余杭区,数据分析实习生,在校/应届,本科,3k-5k,牛人团队 成长空间 期权激励 独当一面,"企业服务,数据服务",开发|测试|运维类,"['绩效奖金', '带薪年假', '弹性工作', '扁平管理']",数据开发,杭州
杭州观远数据有限公司,观远数据,150-500人,B轮,徐汇区,数据分析实习生,在校/应届,本科,4k-6k,牛人团队 成长空间 期权激励 独当一面,"企业服务,数据服务",开发|测试|运维类,"['绩效奖金', '带薪年假', '弹性工作', '扁平管理']",数据开发,上海
北京琥珀创想科技有限公司,琥珀创想,50-150人,A轮,朝阳区,数据分析实习生,在校/应届,本科,4k-5k,导师制；双休；交通补；餐补,移动互联网,开发|测试|运维类,"['绩效奖金', '提供工作餐', '定期团建', '交通补助']",数据开发,北京
北京琥珀创想科技有限公司,琥珀创想,50-150人,A轮,高新园区,数据分析实习生,在校/应届,本科,3k-4k,弹性工作，五险一金，双休，过节礼物,移动互联网,开发|测试|运维类,"['绩效奖金', '提供工作餐', '定期团建', '交通补助']",数据开发,大连
北京易观智库网络科技有限公司,易观,150-500人,B轮,朝阳区,数据分析实习生,在校/应届,本科,2k-3k,六险一金 弹性工作 快速成长,"移动互联网,数据服务",产品|需求|项目类,"['专项奖金', '午餐补助', '技能培训', '扁平管理']",数据分析,北京
微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,朝阳区,数据分析实习生,在校/应届,本科,2k-3k,免费班车，实习证明，弹性工作制,文娱丨内容,开发|测试|运维类,"['年底双薪', '专项奖金', '股票期权', '五险一金']",数据开发,北京
深圳市一面网络技术有限公司,一面数据,50-150人,不需要融资,南山区,数据分析师（实习）,在校/应届,本科,3k-6k,大数据人工智能；名校系大牛；技术氛围浓,"移动互联网,数据服务",开发|测试|运维类,"['海归精英团队', '年度旅游', '定期体检', '年终分红']",数据开发,深圳
深圳市一面网络技术有限公司,一面数据,50-150人,不需要融资,静安区,数据分析师（实习）,在校/应届,本科,3k-6k,大数据人工智能；名校系大牛；技术氛围浓,"移动互联网,数据服务",开发|测试|运维类,"['海归精英团队', '年度旅游', '定期体检', '年终分红']",数据开发,上海
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,海淀区,数据产品经理/数据分析实习生,在校/应届,本科,4k-6k,晋升空间，上市公司，扁平管理,硬件,开发|测试|运维类,"['节日礼物', '与大牛共事', '福利健全', '五险一金']",数据开发,北京
生仝智能科技（北京）有限公司,生仝智能,15-50人,天使轮,大兴区,数据分析实习生（python）,在校/应届,硕士,5k-10k,集团子公司，新成立团队，前景广阔，,移动互联网,开发|测试|运维类,"['绩效奖金', '专项奖金', '午餐补助', '定期体检']",数据开发,北京
北京天天乐学教育科技有限公司,天天乐学,150-500人,A轮,海淀区,数据分析实习生,在校/应届,本科,5k-8k,创新市场；快速增长；十四薪；,"移动互联网,教育",开发|测试|运维类,"['年轻团队', '股票期权', '带薪年假', '绩效奖金']",数据开发,北京
广州数说故事信息科技有限公司,DataStory,150-500人,B轮,杨浦区,实习数据分析师,在校/应届,本科,2k-3k,"高速发展,领导好,氛围好,业务导向",数据服务,市场|商务类,"['颜值高', '双休日', '高大上团建', '带薪假']",市场|营销,上海
